Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB Designs\Frequency_Voltage_Board\Project Outputs for Frequency_Voltage_Board\Pick Place for Layout.csv

========================================================================================================================
File Design Information:

Date:       16/03/23
Time:       18:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R15","10k","TopLayer","0402_Passive_Resistor","280.000","140.000","270","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
"R14","4.7Ohm","TopLayer","1206_Passive_Resitor","650.000","580.000","0","4.7O ±5% 0.25W ±400ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R13","10k","TopLayer","0402_Passive_Resistor","2909.685","1850.000","180","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
"R12","10k","TopLayer","0402_Passive_Resistor","2140.000","1220.000","0","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
"R11","10k","TopLayer","0402_Passive_Resistor","1230.315","1100.000","0","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
"LED5","KT-0603R","TopLayer","LED_0603","3040.000","1850.000","180","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED4","KT-0603R","TopLayer","LED_0603","2020.000","1220.000","0","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED3","KT-0603R","TopLayer","LED_0603","1140.000","1070.000","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED2","KT-0603R","TopLayer","LED_0603","1830.000","1760.472","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"TP8","TP_RC_OSC","TopLayer","TP10x_Probe","2480.000","890.000","90","Test Point 300 mil centers"
"Y1","X322516MLB4SI","TopLayer","Crystal_resonator","2828.035","1589.994","270","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"U5","MCP6002T-I/SN","TopLayer","SOIC127P600X175-8N","426.299","325.000","0","0.6 V/us 2 1MHz 1.8V ~ 6V 100µA General Purpose SOIC-8_150mil  Operational Amplifier ROHS"
"U4","SN74AHC14DR","TopLayer","SOIC127P600X175-14N","3102.559","1470.000","0","6-ch, 2-V to 5.5-V inverters with Schmitt-Trigger inputs"
"U3","LMC555CMX/NOPB","TopLayer","TS555IDTTR","1033.701","885.000","180","555 Type, Timer/Oscillator _Single_ IC 3MHz 8-SO"
"U2","SN74AHC14DR","TopLayer","HEX_74AC14","2140.000","1520.000","90","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U1","SN74AHC14DR","TopLayer","HEX_74AC14","2140.000","870.000","90","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"TP7","10x Probe TP","TopLayer","TP10x_Probe","950.000","1400.000","0","Test Point 300 mil centers"
"TP6","TP_16MHz_BUFF","TopLayer","TP10x_Probe","3080.000","1140.000","0","Test Point 300 mil centers"
"TP5","10x Probe TP","TopLayer","TP10x_Probe","1130.000","530.000","0","Test Point 300 mil centers"
"TP4","TP_MOSFET","TopLayer","TP10x_Probe","1150.000","260.000","0","Test Point 300 mil centers"
"TP3","TP_555_Output","TopLayer","TP10x_Probe","1470.000","800.000","270","Test Point 300 mil centers"
"TP2","TP_5V","TopLayer","TP10x_Probe","300.000","1400.000","0","Test Point 300 mil centers"
"TP1","TP_RING_OSC","TopLayer","TP10x_Probe","2480.000","1510.000","90","Test Point 300 mil centers"
